date, valuePerTh
2021-11-27,0.303
2021-11-28,0.321
2021-11-29,0.324
2021-11-30,0.3
2021-12-01,0.346
2021-12-02,0.337
2021-12-03,0.331
2021-12-04,0.266
2021-12-05,0.295
2021-12-06,0.294
2021-12-07,0.275
2021-12-08,0.279
2021-12-09,0.287
2021-12-10,0.267
2021-12-11,0.255
2021-12-12,0.247
2021-12-13,0.25
2021-12-14,0.255
2021-12-15,0.254
2021-12-16,0.213
2021-12-17,0.283
2021-12-18,0.233
2021-12-19,0.257
2021-12-20,0.248
2021-12-21,0.267
2021-12-22,0.251
2021-12-23,0.256
2021-12-24,0.27
2021-12-25,0.257
2021-12-26,0.249
2021-12-27,0.284
2021-12-28,0.242
2021-12-29,0.258
2021-12-30,0.217
2021-12-31,0.289
2022-01-01,0.253
2022-01-02,0.231
2022-01-03,0.233
2022-01-04,0.251
2022-01-05,0.246
2022-01-06,0.234
2022-01-07,0.21
2022-01-08,0.219
2022-01-09,0.219
2022-01-10,0.211
2022-01-11,0.241
2022-01-12,0.213
2022-01-13,0.244
2022-01-14,0.212
2022-01-15,0.217
2022-01-16,0.235
2022-01-17,0.21
2022-01-18,0.2
2022-01-19,0.243
2022-01-20,0.207
2022-01-21,0.176
2022-01-22,0.171
2022-01-23,0.168
2022-01-24,0.172
2022-01-25,0.176
2022-01-26,0.167
2022-01-27,0.173
2022-01-28,0.186
2022-01-29,0.185
2022-01-30,0.169
2022-01-31,0.186
2022-02-01,0.188
2022-02-02,0.183
2022-02-03,0.17
2022-02-04,0.167
2022-02-05,0.197
2022-02-06,0.218
2022-02-07,0.193
2022-02-08,0.22
2022-02-09,0.215
2022-02-10,0.209
2022-02-11,0.204
2022-02-12,0.232
2022-02-13,0.184
2022-02-14,0.185
2022-02-15,0.226
2022-02-16,0.193
2022-02-17,0.197
2022-02-18,0.182
2022-02-19,0.189
2022-02-20,0.171
2022-02-21,0.162
2022-02-22,0.182
2022-02-23,0.169
2022-02-24,0.155
2022-02-25,0.179
2022-02-26,0.169
2022-02-27,0.192
2022-02-28,0.182
2022-03-01,0.201
2022-03-02,0.186
2022-03-03,0.205
2022-03-04,0.183
2022-03-05,0.167
2022-03-06,0.192
2022-03-07,0.185
2022-03-08,0.184
2022-03-09,0.179
2022-03-10,0.185
2022-03-11,0.171
2022-03-12,0.191
2022-03-13,0.171
2022-03-14,0.178
2022-03-15,0.176
2022-03-16,0.194
2022-03-17,0.194
2022-03-18,0.174
2022-03-19,0.203
2022-03-20,0.184
2022-03-21,0.19
2022-03-22,0.186
2022-03-23,0.204
2022-03-24,0.19
2022-03-25,0.223
2022-03-26,0.204
2022-03-27,0.186
2022-03-28,0.247
2022-03-29,0.206
2022-03-30,0.204
2022-03-31,0.211
2022-04-01,0.2
2022-04-02,0.212
2022-04-03,0.212
2022-04-04,0.212
2022-04-05,0.19
2022-04-06,0.208
2022-04-07,0.181
2022-04-08,0.189
2022-04-09,0.208
2022-04-10,0.175
2022-04-11,0.181
2022-04-12,0.186
2022-04-13,0.175
2022-04-14,0.179
2022-04-15,0.191
2022-04-16,0.174
2022-04-17,0.191
2022-04-18,0.161
2022-04-19,0.178
2022-04-20,0.207
2022-04-21,0.193
2022-04-22,0.156
2022-04-23,0.187
2022-04-24,0.191
2022-04-25,0.181
2022-04-26,0.158
2022-04-27,0.188
2022-04-28,0.147
2022-04-29,0.174
2022-04-30,0.167
2022-05-01,0.17
2022-05-02,0.155
2022-05-03,0.164
2022-05-04,0.159
2022-05-05,0.176
2022-05-06,0.148
2022-05-07,0.148
2022-05-08,0.153
2022-05-09,0.144
2022-05-10,0.134
2022-05-11,0.123
2022-05-12,0.108
2022-05-13,0.134
2022-05-14,0.118
2022-05-15,0.116
2022-05-16,0.139
2022-05-17,0.118
2022-05-18,0.116
2022-05-19,0.117
2022-05-20,0.122
2022-05-21,0.126
2022-05-22,0.106
2022-05-23,0.143
2022-05-24,0.101
2022-05-25,0.139
2022-05-26,0.123
2022-05-27,0.123
2022-05-28,0.124
2022-05-29,0.123
2022-05-30,0.134
2022-05-31,0.135
2022-06-01,0.125
2022-06-02,0.128
2022-06-03,0.135
2022-06-04,0.129
2022-06-05,0.126
2022-06-06,0.137
2022-06-07,0.128
2022-06-08,0.135
2022-06-09,0.114
2022-06-10,0.122
2022-06-11,0.125
2022-06-12,0.105
2022-06-13,0.109
2022-06-14,0.0936
2022-06-15,0.1
2022-06-16,0.0791
2022-06-17,0.0817
2022-06-18,0.0975
2022-06-19,0.0715
2022-06-20,0.0837
2022-06-21,0.093
2022-06-22,0.0821
2022-06-23,0.0972
2022-06-24,0.0834
