date, valuePerTh
2019-04-10,0.23
2019-04-11,0.219
2019-04-12,0.205
2019-04-13,0.199
2019-04-14,0.19
2019-04-15,0.24
2019-04-16,0.204
2019-04-17,0.21
2019-04-18,0.227
2019-04-19,0.212
2019-04-20,0.199
2019-04-21,0.227
2019-04-22,0.199
2019-04-23,0.219
2019-04-24,0.271
2019-04-25,0.211
2019-04-26,0.221
2019-04-27,0.192
2019-04-28,0.245
2019-04-29,0.213
2019-04-30,0.199
2019-05-01,0.233
2019-05-02,0.234
2019-05-03,0.212
2019-05-04,0.204
2019-05-05,0.229
2019-05-06,0.24
2019-05-07,0.213
2019-05-08,0.251
2019-05-09,0.249
2019-05-10,0.231
2019-05-11,0.274
2019-05-12,0.312
2019-05-13,0.3
2019-05-14,0.298
2019-05-15,0.331
2019-05-16,0.327
2019-05-17,0.307
2019-05-18,0.301
2019-05-19,0.325
2019-05-20,0.301
2019-05-21,0.336
2019-05-22,0.344
2019-05-23,0.292
2019-05-24,0.333
2019-05-25,0.291
2019-05-26,0.346
2019-05-27,0.365
2019-05-28,0.355
2019-05-29,0.365
2019-05-30,0.331
2019-05-31,0.273
2019-06-01,0.341
2019-06-02,0.305
2019-06-03,0.306
2019-06-04,0.339
2019-06-05,0.278
2019-06-06,0.273
2019-06-07,0.293
2019-06-08,0.25
2019-06-09,0.28
2019-06-10,0.283
2019-06-11,0.283
2019-06-12,0.268
2019-06-13,0.311
2019-06-14,0.321
2019-06-15,0.269
2019-06-16,0.308
2019-06-17,0.343
2019-06-18,0.357
2019-06-19,0.35
2019-06-20,0.291
2019-06-21,0.348
2019-06-22,0.396
2019-06-23,0.413
2019-06-24,0.39
2019-06-25,0.365
2019-06-26,0.498
2019-06-27,0.384
2019-06-28,0.427
2019-06-29,0.396
2019-06-30,0.37
2019-07-01,0.349
2019-07-02,0.383
2019-07-03,0.373
2019-07-04,0.373
2019-07-05,0.389
2019-07-06,0.357
2019-07-07,0.344
2019-07-08,0.408
2019-07-09,0.344
2019-07-10,0.354
2019-07-11,0.329
2019-07-12,0.364
2019-07-13,0.311
2019-07-14,0.297
2019-07-15,0.307
2019-07-16,0.316
2019-07-17,0.238
2019-07-18,0.288
2019-07-19,0.299
2019-07-20,0.347
2019-07-21,0.272
2019-07-22,0.297
2019-07-23,0.314
2019-07-24,0.257
2019-07-25,0.304
2019-07-26,0.296
2019-07-27,0.254
2019-07-28,0.29
2019-07-29,0.259
2019-07-30,0.267
2019-07-31,0.316
2019-08-01,0.238
2019-08-02,0.333
2019-08-03,0.311
2019-08-04,0.297
2019-08-05,0.269
2019-08-06,0.319
2019-08-07,0.29
2019-08-08,0.322
2019-08-09,0.307
2019-08-10,0.308
2019-08-11,0.28
2019-08-12,0.265
2019-08-13,0.316
2019-08-14,0.281
2019-08-15,0.257
2019-08-16,0.255
2019-08-17,0.251
2019-08-18,0.251
2019-08-19,0.294
2019-08-20,0.266
2019-08-21,0.248
2019-08-22,0.265
2019-08-23,0.268
2019-08-24,0.257
2019-08-25,0.253
2019-08-26,0.239
2019-08-27,0.254
2019-08-28,0.263
2019-08-29,0.249
2019-08-30,0.238
2019-08-31,0.251
2019-09-01,0.202
2019-09-02,0.245
2019-09-03,0.26
2019-09-04,0.233
2019-09-05,0.262
2019-09-06,0.247
2019-09-07,0.254
2019-09-08,0.261
2019-09-09,0.214
2019-09-10,0.27
2019-09-11,0.247
2019-09-12,0.22
2019-09-13,0.227
2019-09-14,0.226
2019-09-15,0.226
2019-09-16,0.215
2019-09-17,0.215
2019-09-18,0.24
2019-09-19,0.198
2019-09-20,0.214
2019-09-21,0.229
2019-09-22,0.219
2019-09-23,0.174
2019-09-24,0.237
2019-09-25,0.178
2019-09-26,0.176
2019-09-27,0.14
2019-09-28,0.18
2019-09-29,0.154
2019-09-30,0.155
2019-10-01,0.177
2019-10-02,0.165
2019-10-03,0.168
2019-10-04,0.167
2019-10-05,0.158
2019-10-06,0.161
2019-10-07,0.162
2019-10-08,0.165
2019-10-09,0.153
2019-10-10,0.189
2019-10-11,0.151
2019-10-12,0.153
